id_producto,nombre_producto,descripcion,id_categoria,categoria,categoria_padre,id_marca,marca,deportes,atributos,total_variantes,precio_min,precio_max,precio_promedio,stock_total,activo,disponible,contenido_tfidf
1,Playera marca Nike en color azulito,Es una playera deportiva marca Nike de color azul,3,Playeras,Ropa,1,Nike,Gym|Running,Color Azul Genero Hombre Material Algodón Talla M,1,552.00,552.00,552.00,5,t,t,playera marca nike en color azulito es una playera deportiva marca nike de color azul color azul genero hombre material algodón talla m
2,Espinilleras Adidas Ghost Graphic,Espinilleras de fútbol con placa rígida,41,Espinilleras,Accesorios,2,Adidas,Futbol,Color Azul Genero Hombre Talla M,1,350.00,350.00,350.00,4,t,t,espinilleras adidas ghost graphic espinilleras de fútbol con placa rígida color azul genero hombre talla m
5,Nike Phantom Elite Color Cafe,Playera profesional de alto rendimiento,3,Playeras,Ropa,1,Nike,Gym|Running,Color Cafe Genero Hombre Talla M,1,700.00,700.00,700.00,1,t,t,nike phantom elite color cafe playera profesional de alto rendimiento color cafe genero hombre talla m
12,Short para correr,Es un short para correr,5,Short,Ropa,3,Puma,Running,Color Negro Deporte Running Genero Hombre Talla L,1,270.00,270.00,270.00,4,t,t,short para correr es un short para correr color negro deporte running genero hombre talla l
13,Short marca puma pa jugar,Es un short comodo pa jugar fulbo,5,Short,Ropa,1,Nike,Futbol|Gym,Color Blanco Genero Hombre Talla M,1,600.00,600.00,600.00,1,t,t,short marca puma pa jugar es un short comodo pa jugar fulbo color blanco genero hombre talla m
16,Calcetines negros,"Calcetines comodos para hacer deporte, en color negro",33,Calcetines,Ropa,1,Nike,Running,Color Negro Genero Unisex Material Algodón Talla M,1,300.00,300.00,300.00,10,t,t,"calcetines negros calcetines comodos para hacer deporte, en color negro color negro genero unisex material algodón talla m"
17,Playera  puma color cafe,Es una playera color cafe para hacer deporte,3,Playeras,Ropa,3,Puma,Gym,Color Cafe Genero Hombre Material Algodón Talla M,1,500.00,500.00,500.00,3,t,t,playera  puma color cafe es una playera color cafe para hacer deporte color cafe genero hombre material algodón talla m
19,Muñequeras color negro marca adidas,"Son unas muñequeras de buena calidad, marca nike para hombres",42,Muñequeras,Accesorios,2,Adidas,Gym,Color Negro Genero Hombre Talla L,1,610.00,610.00,610.00,4,t,t,"muñequeras color negro marca adidas son unas muñequeras de buena calidad, marca nike para hombres color negro genero hombre talla l"
20,Espinilleras color blanco y negro,Son unas espinilleras de la marca reebook muy resistentes,41,Espinilleras,Accesorios,4,Reebok,Futbol,Color Blanco Genero Hombre Talla M,1,350.00,350.00,350.00,6,t,t,espinilleras color blanco y negro son unas espinilleras de la marca reebook muy resistentes color blanco genero hombre talla m
21,Gorra blanca nike,Es una gorra blanca,8,Gorras,Accesorios,1,Nike,Gym|Running,Color Blanco Genero Unisex Talla L,1,600.00,600.00,600.00,31,t,t,gorra blanca nike es una gorra blanca color blanco genero unisex talla l
23,Playera deportiva para niña marca puma,Es una playera roja puma para genero niña,3,Playeras,Ropa,3,Puma,Gym|Running,Color Rojo Genero Niña Rango de edad Niños Talla XS,1,400.00,400.00,400.00,10,t,t,playera deportiva para niña marca puma es una playera roja puma para genero niña color rojo genero niña rango de edad niños talla xs
24,Playera puma color negra,Es una playera negra,3,Playeras,Ropa,3,Puma,Gym,Color Negro Genero Hombre Material Algodón Talla M,1,450.00,450.00,450.00,10,t,t,playera puma color negra es una playera negra color negro genero hombre material algodón talla m
26,Playera puma para niños color azul,es una playera puma,3,Playeras,Ropa,3,Puma,Gym|Running,Color Azul Genero Niño Material Algodón Rango de edad Niños Talla XS,1,450.00,450.00,450.00,4,t,t,playera puma para niños color azul es una playera puma color azul genero niño material algodón rango de edad niños talla xs
30,Playera puma para niños color blanca,Es una playera puma pa niños,3,Playeras,Ropa,3,Puma,Gym|Running,Color Blanco Genero Niño Material Algodón Rango de edad Niños Talla S,1,100.00,100.00,100.00,2,t,t,playera puma para niños color blanca es una playera puma pa niños color blanco genero niño material algodón rango de edad niños talla s
33,Balón de futbol marca puma,Es un balon pa jugar fulbo,43,Balones,Accesorios,3,Puma,Futbol,Color Blanco Genero Hombre Material Cuero sintético,1,260.00,260.00,260.00,7,t,t,balón de futbol marca puma es un balon pa jugar fulbo color blanco genero hombre material cuero sintético
34,Short deportivo para hombre marca nike,Es un short deportivo de la marca nike de buena calidad,5,Short,Ropa,1,Nike,Gym,Color Negro Color Rojo Genero Hombre Talla L Talla M,2,1050.00,1100.00,1075.00,8,t,t,short deportivo para hombre marca nike es un short deportivo de la marca nike de buena calidad color negro color rojo genero hombre talla l talla m
35,Balón de futbol marca voit,"Balón oficial de la Liga MX. Calidad FIFA Quality Pro. Tecnología de construcción termo adherido. Número 5, tamaño y peso oficial.",43,Balones,Accesorios,7,Voit,Futbol,Color Blanco Genero Hombre,1,1700.00,1700.00,1700.00,2,t,t,"balón de futbol marca voit balón oficial de la liga mx. calidad fifa quality pro. tecnología de construcción termo adherido. número 5, tamaño y peso oficial. color blanco genero hombre"
37,Balón blanco marca puma,Es un balon color blanco de la marca puma muy bonito,43,Balones,Accesorios,3,Puma,Futbol,Color Blanco Genero Hombre Material Cuero sintético,1,260.00,260.00,260.00,2,t,t,balón blanco marca puma es un balon color blanco de la marca puma muy bonito color blanco genero hombre material cuero sintético
38,Balón No.4 Morph marca Voit,Es un balon marca voit color amarillo,43,Balones,Accesorios,7,Voit,Futbol,Color Amarillo Genero Hombre,1,500.00,500.00,500.00,13,t,t,balón no.4 morph marca voit es un balon marca voit color amarillo color amarillo genero hombre
39,Espinilleras naranjas marca nike,Son unas espinilleras naranjas de la marca nike,41,Espinilleras,Accesorios,1,Nike,Futbol,Color Naranja Deporte Fútbol Genero Hombre Talla M,1,300.00,300.00,300.00,3,t,t,espinilleras naranjas marca nike son unas espinilleras naranjas de la marca nike color naranja deporte fútbol genero hombre talla m
40,Espinilleras marca voit en color verde,Espinilleras verdes,41,Espinilleras,Accesorios,7,Voit,Futbol,Color Verde Genero Hombre Talla M,1,160.00,160.00,160.00,4,t,t,espinilleras marca voit en color verde espinilleras verdes color verde genero hombre talla m
41,Playera Mujer Blusa Licra Deportivo Ejercicio Correr,Playera para dama,44,Blusa,Ropa,1,Nike,Gym|Running,Color Gris Genero Mujer Talla M,1,130.00,130.00,130.00,6,t,t,playera mujer blusa licra deportivo ejercicio correr playera para dama color gris genero mujer talla m
42,Tenis de la marca pirma originales,Son unos tenis azules,28,Tenis,Calzado,5,Pirma,Running,Color Azul Genero Mujer Talla L,1,600.00,600.00,600.00,2,t,t,tenis de la marca pirma originales son unos tenis azules color azul genero mujer talla l
43,"Tacos de futbol para hombre, en color azul con blanco",Son unos tacos,28,Tenis,Calzado,1,Nike,Futbol,Color Blanco Deporte Fútbol Talla L,1,1600.00,1600.00,1600.00,1,t,t,"tacos de futbol para hombre, en color azul con blanco son unos tacos color blanco deporte fútbol talla l"
46,Gorra De Béisbol Leaping Triangle Sandwich «pirma»,Gorra De Béisbol Leaping Triangle Sandwich «pirma»,8,Gorras,Accesorios,5,Pirma,Gym,Color Negro Genero Unisex,1,109.99,109.99,109.99,2,t,t,gorra de béisbol leaping triangle sandwich «pirma» gorra de béisbol leaping triangle sandwich «pirma» color negro genero unisex
53,Calcetines Under Armour Hombre 3 Pares Calcetas Original Negro-07 Logo 7-12us,Calcetines Under Armour Hombre 3 Pares Calcetas Original Negro-07 Logo 7-12us,33,Calcetines,Ropa,8,Under Armor,Futbol|Gym|Running,Color Negro Genero Unisex Material Algodón Rango de edad Adulto,1,250.00,250.00,250.00,1,t,t,calcetines under armour hombre 3 pares calcetas original negro-07 logo 7-12us calcetines under armour hombre 3 pares calcetas original negro-07 logo 7-12us color negro genero unisex material algodón rango de edad adulto
54,Playera Under Armour Casual Bubble Wordmark Niño 1389963,"Playera Under Armour, Niño",3,Playeras,Ropa,8,Under Armor,Gym,Color Rojo Genero Niño Talla S,1,250.00,250.00,250.00,3,t,t,"playera under armour casual bubble wordmark niño 1389963 playera under armour, niño color rojo genero niño talla s"
59,Nike Match Guantes Azules De Portero,Nike Match Guantes Azules De Portero,40,Guantes de portero,Accesorios,1,Nike,Futbol,Color Azul Talla M,1,704.98,704.98,704.98,1,t,t,nike match guantes azules de portero nike match guantes azules de portero color azul talla m
66,Gorra negra para de la marca alo,Es una gorra negra,8,Gorras,Accesorios,9,Alo,Running,Color Blanco Genero Unisex Talla S,1,150.00,150.00,150.00,1,t,t,gorra negra para de la marca alo es una gorra negra color blanco genero unisex talla s
